,label,2,14,19,40,41,56,59,65,70,78,84,92,122,124,125,128,130,131,133,137,205,212,274,275,288,289,312,331,339,343,366,384,385,405,411,412,415,416,477,497,510,541,561,562,563,570,571,573,575,577,583,589
1182,0,2260.2222,9.9116,12.5008,80.44,2.841,0.9341,4.5355,18.6383,605.1609,0.0631,0.1299,-0.0008,3.22,15.71,1.305,3.236,0.828,1.001,1008.6144,108.4,6.16,0.0432,228.3369,0.0898,0.0032,1.4201,0.1277,0.0692,8.5298,4.5504,0.0045,1.2254,,0.0349,2.1768,37.6146,10.4172,2.341,4.1739,8.5385,70.8333,8.8345,64.0311,264.272,0.5671,531.3036,1.925,0.2011,0.0619,10.4446,0.0113,59.1201
408,0,2197.2333,6.6757,12.4661,76.57,3.732,0.9266,18.4,27.6834,631.8009,-0.0454,0.1299,0.0021,4.184,15.85,1.064,3.245,0.6755,0.9967,1000.7826,50.8,13.22,0.0445,110.2312,0.0646,0.0019,2.4853,0.0734,0.0246,6.3697,5.6526,0.0054,,0.0053,0.0227,2.3757,19.4331,4.8344,2.2023,8.9202,10.9417,26.7658,14.8581,61.233,253.04,0.7853,534.7936,2.2749,0.2724,0.0733,11.9761,0.0101,233.2441
505,0,2235.0556,10.899,12.4849,78.79,3.194,0.9314,5.65,20.0533,614.0309,-0.064,0.1406,0.0037,4.019,15.85,1.116,2.887,0.7025,0.9952,1000.9047,66.1,13.68,0.0272,102.5782,0.0315,0.0023,2.8382,0.0494,0.0929,9.3764,7.2286,0.0052,,0.0119,0.0096,2.3579,26.1569,5.4098,2.6010000000000004,9.0309,9.4932,33.3709,10.6698,20.7785,,,532.3055,2.0377,0.2728,0.0915,13.3898,0.01,474.0812
450,0,2187.6667,7.0945,12.481,66.55,3.142,0.9319,-6.8627,33.9056,622.2618,-0.0455,0.1241,0.0053,2.854,15.88,1.3430000000000002,3.265,0.8244,0.9995,1008.0704,92.6,10.42,0.0546,90.4512,0.1251,0.0057,2.6193,0.1246,0.0937,10.0987,6.7736,0.0062,,0.0081,0.0328,2.6604,17.6553,4.0742,2.8359,7.2038,17.5131,32.3316,7.96,47.843,267.994,0.5849,530.5864,2.4746,0.3503,0.1132,14.1572,0.0139,150.7761
611,0,2160.6,10.2465,12.4231,78.63,3.134,0.9238,-0.9127,29.3191,625.4764,-0.042,0.1403,-0.0002,3.879,15.98,0.9649,3.199,0.8270000000000001,0.9997,1004.4267,49.0,11.87,0.1009999999999999,74.30199999999999,0.0661,0.0047,1.6797,0.1046,0.0887,9.1745,8.2668,0.003,,0.0608,0.009,2.6243,21.9327,3.961,3.5303,8.4692,8.7281,64.5341,9.7247,8.3522,265.682,0.8343,531.0854,2.0685,0.2932,0.0858,14.1723,0.0129,62.3881
182,1,2221.9444,4.4757,12.5037,13.77,5.31,0.9188,27.4136,19.9389,633.6118,-0.0366,0.1358,0.0053,3.18,15.77,0.9271,3.425,0.8764,0.9967,1014.2878,164.2,14.84,0.0472,94.5242,0.099,0.0059,2.6096,0.4446,0.0786,10.5465,10.1427,0.0051,,0.0061,0.042,2.6778,21.0164,4.2411,2.7832,10.0883,10.131,77.6903,8.5745,51.1223,261.144,0.6608,536.0336,2.2646,0.366,0.1074,16.1636,0.0203,264.7525
429,0,2177.0222,10.9552,12.5227,77.05,3.029,0.9266,7.7727,15.6295,631.3245,-0.0684,0.1388,0.0024,3.074,15.85,1.078,3.31,0.8258,0.9973,1006.6387,131.3,14.28,0.0435,27.3556,0.1778,0.0043,3.2827,0.4086,0.0774,11.5082,5.5111,0.0112,,0.0055,0.0293,4.0927,6.3122,2.4696,2.5965,9.7235,5.6341,73.0964,10.7389,42.2357,265.6,0.8677,532.9282,2.4995,0.181,0.0679,7.2419,0.0139999999999999,109.5996
301,0,2201.5777,9.0687,12.4496,76.57,3.732,0.9354,22.3736,25.0342,604.8227,-0.0475,0.1254,0.0003,2.824,15.8,1.068,3.3960000000000004,0.8284,0.9979,1004.5381,141.7,14.55,0.0235,109.6739,0.0217,0.0023,3.0923,0.0734,0.0969,9.3623,7.335,0.0038,,0.0172,0.0256,2.4482,29.9413,6.4903,3.7439,9.6886,9.3591,69.9259,7.7103,11.6755,246.952,0.6409,532.4264,2.3599,0.245,0.0755,10.3822,0.0147,70.5588
385,0,2196.8,9.8032,12.5216,36.03,37.88,0.9228,-5.3355,32.4414,633.6645,-0.0759,0.1254,0.0093,4.348,15.75,1.239,3.091,0.6586,1.0,998.4948,158.3,8.2,0.0449,75.0024,0.0405,0.0135,2.5696,0.1026,0.0254,6.9179,6.7833,0.0219,,0.0124,0.0217,2.1713,22.3706,3.9238,2.5588,5.6449,7.1143,74.3935,11.6625,34.8875,267.316,1.0607,533.16,2.2493,0.4004,0.1164,17.7998,0.0096,127.2483
1222,0,2173.4889,9.689,12.4018,79.55,2.809,0.9325,-1.9727,29.0827,622.2382,0.0165,0.1315,0.0035,4.137,16.07,1.286,2.92,0.7772,0.9959,1012.9091,,4.09,0.0482,178.9413,0.0536,0.0046,2.0325,0.1071,0.1,10.0483,7.0554,0.0075,1.3411,,0.0102,2.5167,42.4595,10.5617,2.6472,2.7865,18.3025,53.3333,12.0932,31.7663,264.272,0.5671,528.5973,2.22,0.2848,0.0859,12.8307,0.0133,54.1279
880,0,2240.8666,11.0536,12.5106,79.02,3.014,0.9376,-3.9045,30.2138,608.2927,0.0265,0.1305,-0.0006,3.583,15.84,0.9744,3.347,0.8264,1.001,1013.6911,189.2,7.74,0.0789,140.4426,0.0836,0.0018,2.6857,0.1419,0.0733,7.5203,6.3881,0.0051,1.0124,0.0103,0.0378,2.7713,20.8365,4.7232,2.7572,5.3634,24.1966,27.3504,12.6615,35.1677,251.154,0.8186,535.1345,2.1394,0.3258,0.0953,15.2286,0.0139,65.0365
