,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34
1182,-0.9775715190842776,-0.9768846129202479,0.141797765058658,0.7414308732617395,-0.27459019639982074,-0.05599979232615934,0.26156050277047305,1.1482714620428809,-0.35783590719319275,-1.0012330530054954,1.207757456493243,0.3611649193558512,0.07615673335916388,-0.45564190593783876,-0.10708735657218287,-1.105549669388491,-0.7510712638695116,-1.7760256900963354,-0.42361994646694223,0.41816367158196743,0.39458136320868487,-0.6680937367322531,-0.1050954882053084,0.6820878527958333,-0.43696310818483675,0.7391067988327674,-0.825962522526185,-0.5342634853538072,-0.048492909311148136,0.07146712163025933,0.20316221357002454,-0.10049556846478543,0.08126322721949494,-2.2992679599962048e-15,-3.0316761847839843e-16
408,1.3404120568380615,-1.0905022554701298,-2.4683135995209255,-0.6085750370410766,0.08631222630784918,-2.802209665095321,-0.0011382624113380486,0.07441625532476719,0.8627653384891635,-0.6187230559738406,-0.20836540440632292,1.3254751331834866,-1.1098276762992414,-0.7479973489228051,-0.16915087566264173,-0.0048347657980930825,0.8310638096811795,0.2751406758741041,-0.6162981647695832,0.18376167944448077,-0.7881345229573218,-0.2657672494737485,0.39243750752218404,0.19002904965942452,0.432821659219741,-0.285036616842801,-0.20225133324261654,0.1671445208518743,0.6644379947645914,-0.8403630173784313,-0.3197003783302613,1.092761133940568,0.14070547947408218,4.1412509219389134e-15,-1.1122626084854778e-15
505,1.4867216094391595,0.9877287806133429,-5.104606505804328,0.3501570254802039,0.40722910655207556,-0.7347911778313865,-0.5896127997210404,-0.4280057526448798,0.4670847372126541,-0.09590056608514871,0.9141036764535821,0.8333223346801133,1.4455810617229254,-0.5863494577121432,-1.896414876304126,0.486717791687168,0.523440094295765,0.35999804891488274,0.6819624500513105,-1.0303497110168285,0.36469631734010377,-0.18236145802851184,-0.716533789764213,-0.05488622678340363,0.6526862347613085,0.48261740159612204,-0.4810628518752427,-0.028079430740166212,-0.7534082491380466,-0.2575855137653522,-0.254239557750836,-0.20499537716562427,-0.03689823723848148,6.8338361431360595e-15,7.140173835156295e-15
450,0.5289152193216194,-0.38467861198522263,-0.9373813505519794,-1.287970936878318,-0.05473907186850801,1.3649955605415198,0.9290284912257459,-0.7670064752905041,-0.4166728775732022,-1.3521591131416981,-0.9005429282219866,0.0117195498952307,-0.89241395108821,-0.3792401907681061,-0.13760049771572727,-0.38552745274124045,0.6246383385295907,0.3623553675203457,-1.4058617513329326,-1.6225983484501372,-0.3389774171343368,0.052307479701149004,0.9471845267353616,0.026631114877062295,0.4785732024711469,-0.6445081008631076,0.20887466836604854,-0.0429411582093822,0.25793876433457585,-0.16564389502137236,0.0666924404868698,-0.503317934624594,0.0124085238501387,7.421930959192869e-16,9.05446131966344e-16
611,0.5316158029136644,-1.465972137677077,-0.15002587167242734,-1.3203045969446539,0.14642963936683467,0.29902152183900466,-0.4683913587112792,-0.06822322497881696,0.8250232151002121,1.8126634689596397,-0.3436871109696108,-0.2760911108439536,0.052899372325863336,1.385444048542151,-0.936301815961287,-0.18574055210391124,0.07394810998193059,0.7786838001463767,1.3139885212351692,0.3960408062272704,-0.2709981565540716,-1.3637790221978507,-0.8108163966521047,-0.5052795494897839,-0.5304117275563216,-0.13011274658147776,-0.29466373059764406,2.92632338072105,-0.5687790811732216,0.48086066334404726,-0.01750506338003325,-0.7484520562286314,-0.11550211175061424,4.8142702724123145e-15,-1.0549258034760435e-15
182,2.196126439980133,2.589006014543861,-1.0196016383458097,-1.372760125733691,-0.845281466444587,-1.3139437111127719,-0.1931686279772184,0.3387639074687435,-0.3045440905820454,-0.6658814668277561,-0.4509085489481613,0.508456350849528,0.8799977409746154,-1.6626892798819568,0.6606777868505425,0.8919664003412423,-0.07530419281661917,-0.22946572785471545,-0.3741766397820781,-0.6311727298649985,-0.11219486546376911,-1.1332420294977406,-0.4571191732430659,0.06551126284604514,0.1939072884757411,-1.4113720525618825,0.04497188355483343,-0.038637375096029825,0.7830617001451133,0.30286743339963573,0.23587881400028984,0.7801876134733022,-0.17723269108774112,1.0623518737798058e-15,-7.276599079991024e-17
429,0.7712027712441938,0.9737676709623129,-0.056530350964312436,-2.4784961713074667,-0.13275572369992283,-1.5452184225013517,0.31399938541933925,-0.5252919229185153,0.8806193040948713,0.41381260728926245,0.06745248179711849,0.9738405130985797,0.6680678548686065,-0.7468485094325025,-0.9558621943369966,0.7730918287973205,-1.6388851328943446,1.5464617707193415,-2.0687737718702826,0.7047935489465825,-0.8954396715207977,1.3414748571231794,-1.251098091536655,0.07810717460563979,-0.8434220758203378,-0.08726094705147956,1.1674435368978684,-0.17333970399921492,-1.393601180806605,0.667159283133575,0.11370319927660393,-0.14183104521745823,0.4147135572832114,-1.602062013295829e-15,-1.7826105899808933e-15
301,0.48553036799241467,0.8645165456271913,0.7057973970164938,-0.7694245898191899,1.0808178890459748,-1.4382670709375924,0.22905841381144418,0.25888363166921846,-0.23300480802332962,-0.5248877714418411,1.1918518099618214,-0.42783575527739487,0.5129397942858486,1.839183092587898,0.41795766610312807,0.11756093446908769,1.4603050458630118,-1.7852644388398704,-0.43185762018095725,-0.07451548375167882,0.5179698103016948,0.7156607200466218,0.1907592375608378,-0.4107428340466894,0.3092307394599905,0.6299152409576313,-0.24615521038696572,0.09013966721977011,0.7618532844234623,-0.17509886014337148,-0.07855187656493952,0.5845639542756881,-0.05157025328924649,-1.5505451529250834e-15,7.925038353891767e-17
385,0.8567586800424287,3.6316735117841366,0.22736801144369745,-5.082977616928245,-0.22542101054199995,1.5062969329241906,1.6076348900253243,-8.519043985281701,7.664075549406271,-4.006234480784516,-5.025053607629679,5.948329648317258,-1.191834695045291,-1.5616123463017673,1.8765925255567462,-1.0529702548994722,-2.289809764738247,-1.112715507293505,0.05520006623969058,2.0486841957837414,3.983628156822786,0.38047574771773046,-2.1818920573609772,0.8984906040247939,-1.5636181661056021,-0.6199324010518946,1.501816925415032,0.12861909164622168,1.440289105549463,0.8764589557986711,0.3841061077622945,-0.45647581690297473,-0.1367806147357139,-5.878715397544203e-16,-4.952585019620491e-16
1222,-0.2927249565895127,-0.4448347658215904,0.5408657240946018,-0.02701845463245982,-0.1488218909419433,0.7042314378905654,0.24220494870231762,0.07167191420858056,0.6618816133126916,-0.8314208788259841,-0.4223029837892933,0.008841272033010578,-0.2570866573028839,-0.7312531686111354,-0.9448106887518778,-0.16686882848166615,-0.5245097995642047,0.2833952541928387,-0.2533491220806747,-0.8277501775617822,0.07407402059341574,1.074048325529514,1.371548708896742,0.6937342738159671,-0.38932063760714114,0.11720821867697245,-0.1061353225895445,0.16444803247467749,0.7228649925234717,0.17415864386363608,0.18351324310263317,0.009516335213107307,-0.22708185213933754,-2.5039456585101778e-15,3.6070825767652e-15
